label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,045_neg_Cohort_1_1,046_neg_Cohort_1_2,047_neg_Cohort_1_3,048_neg_Cohort_1_4,049_neg_Cohort_1_5,053_neg_Cohort_2_1,054_neg_Cohort_2_2,055_neg_Cohort_2_3,056_neg_Cohort_2_4,057_neg_Cohort_2_5,058_neg_Cohort_2_6,061_neg_Cohort_3_1,062_neg_Cohort_3_2,063_neg_Cohort_3_3,064_neg_Cohort_3_4,065_neg_Cohort_3_5,066_neg_Cohort_3_6,069_neg_Cohort_4_1,070_neg_Cohort_4_2,071_neg_Cohort_4_3,072_neg_Cohort_4_4,073_neg_Cohort_4_5,074_neg_Cohort_4_6,077_neg_Cohort_5_1,078_neg_Cohort_5_2,079_neg_Cohort_5_3
g,1087,1087,27,174.098633,2.141,0.72607,,Std-L-Phenylalanine,Std-L-Phenylalanine,,5.269,1.402314,174.098633,1567910.88,1440967.75,1562950.88,1647526.62,1885451.25,1484188.75,1308690.25,1665553.38,1563147.75,1485555.88,1436063.88,1488145.38,1629997,1544835,1438881.25,1606617.75,1584187.25,1468345.5,1544608.5,1714852.62,1636158.38,1618905.88,1501471.38,1606435.12,1710179.12,1452017.38
g,1,1,6,337.053772,4.482,0.839274,,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,C04677,C9H15N4O8P,-1,5.070335,337.053772,79555.91,62093.95,66659.32,66933,56646.23,108300.38,99755.58,104859.88,98018.9,113849.31,117542.77,102971.85,91826.44,103436.22,78504.73,115050.13,96128.07,89643.53,76762.26,62934.05,77589.27,57863.31,77545.28,28954.86,30593,31275.4
g,2,2,29,362.05014,5.782,0.837433,,GMP,C00144,C10H14N5O8P,-1,1.601527,362.05014,19532484,19489650,15856299,20820674,20047696,12675279,12175107,8954875,11735647,13169476,7224029.5,7523021.5,9353570,7554041.5,7204600.5,12977047,8600392,5157629.5,10560783,9426739,10523749,14828464,8538355,791279,1119323.88,1543209.62
g,6,6,11,358.125214,3.664,0.839334,,3-(3-Amino-3-carboxypropyl)-1-methylpseudouridine,193882,C14H21N3O8,-1,1.022577,358.125214,29393.64,26365.08,18058.2,28484.74,37410.11,18315.81,17951.63,12224.86,31279.92,25986.82,18608.45,28692.28,19924.42,25735.64,26468.63,16457.62,20047.8,7494.35,6160.37,5848.58,5607.81,5986.6,6793.59,10064.21,5370.9,10144.59
g,8,8,19,352.063873,3.02,0.675565,,"2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one",C01304,C9H16N5O8P,-1,7.107868,352.063873,236297.36,162777.95,279372.66,167853.88,364774.66,461587.5,319579.31,382525.62,449033.78,362121.84,359534.56,532336.75,483255.62,408920.25,610167.06,531398.94,479267.84,102332.84,271826.59,342597.41,131523.53,157810.39,276580.16,133855.23,177058.45,326424.78
g,9,9,18,347.03949,5.142,0.835507,,IMP,C00130,C10H13N4O8P,-1,0.967305,347.03949,93551.86,168590.88,67085.95,128706.02,155857.52,44961.14,50616.97,34852.89,58662.9,75659.6,31936.9,28253.17,43220.38,41362.16,74187.73,49524.8,36267.29,44338.24,75300.16,106004.64,133378.64,120469.48,83474.91,30340.93,48158.53,34707.48
g,10,10,14,347.041138,4.528,0.831061,,IMP,C00130,C10H13N4O8P,-1,3.781283,347.041138,36990.84,45491.01,46329.51,50224.83,61782.88,44129.48,33812.73,42965.13,45595.59,27663.97,21548.48,37882.06,43707.92,35596.62,41059.78,65203.3,33795.45,32975.8,33967.45,33664.28,42008.1,37580.32,43004.64,6723.69,4828.06,21020.51
g,11,11,14,347.040009,3.049,0.833674,,IMP,C00130,C10H13N4O8P,-1,0.527621,347.040009,18626.53,31801.04,8766.04,8543.89,4338.76,38671.97,33577.54,33398.96,25135.79,16133.2,32332.01,18857.22,30082.33,29576.86,19372.09,13330.05,33467.7,8809.8,22668.43,25363.76,9257.9,3464.81,9322.24,29512.99,32352.85,30826.42
g,14,14,13,346.055359,5.809,0.779476,,dGMP,C00362,C10H14N5O7P,-1,1.322803,346.055359,2135882.5,1625395,1870578.62,1326513.5,4853681.5,1697879.88,4501801.5,2939632.5,1191152.38,1634890.38,4502970,1670071.88,1916448.5,1652040,1938502.62,5685636,5051823.5,3988843.75,4872937.5,4363594.5,1568599.25,3532545.75,4692816.5,2262586.75,606154.31,1098561
g,17,17,4,346.055298,3.807,0.71845,,dGMP,C00362,C10H14N5O7P,-1,1.499177,346.055298,6266.92,25850.48,22776.32,20196.75,17601.97,9743.25,22274.77,0,28698.85,25335.59,18503.93,8730.78,15639.94,16846.01,24744.04,0,29478.94,20455.94,3778.36,30585.76,8744.3,0,42043.59,58937.21,37660.29,54213.82
